"Tehingu ref.";"Tehingu tüüp";"Väärtuspäev";"Teenustasu";"";"Komisjoni tasu";"";"Välisturu tasu";"";"Finantstehingu maks";"";"Tehingu summa";"";"Hind";"";"Kogus või nominaalväärtus";
"SWEDBANK ROBUR GL HIGH DIVID C SE0014261756";"";"";"";"";"";"";"";"";"";"";"";"";"";"Algsaldo";"0";
"2408051316201";"APMT + ";"05.08.2024";"0";"EUR";"";"";"";"";"";"";"25";"EUR";"14.09165211";"EUR";"1.7741";
"2409049134201";"APMT + ";"04.09.2024";"0";"EUR";"";"";"";"";"";"";"25";"EUR";"14.55688832";"EUR";"1.7174";
"2410036809101";"APMT + ";"03.10.2024";"0";"EUR";"";"";"";"";"";"";"25";"EUR";"14.768431";"EUR";"1.6928";
"2411057576201";"APMT + ";"05.11.2024";"0";"EUR";"";"";"";"";"";"";"25";"EUR";"14.64643506";"EUR";"1.7069";
"2412049052501";"APMT + ";"04.12.2024";"0";"EUR";"";"";"";"";"";"";"25";"EUR";"15.11761505";"EUR";"1.6537";
"2501069452101";"APMT + ";"06.01.2025";"0";"EUR";"";"";"";"";"";"";"25";"EUR";"15.02855425";"EUR";"1.6635";
"2502053013701";"APMT + ";"05.02.2025";"0";"EUR";"";"";"";"";"";"";"25";"EUR";"15.24948152";"EUR";"1.6394";
"2502074748901";"APMT + ";"07.02.2025";"0";"EUR";"";"";"";"";"";"";"800";"EUR";"15.48709828";"EUR";"51.6559";
"2502117942601";"APMT + ";"11.02.2025";"0";"EUR";"";"";"";"";"";"";"0.77";"EUR";"15.49295775";"EUR";"0.0497";
"2502194242301";"APMT + ";"19.02.2025";"0";"EUR";"";"";"";"";"";"";"3.7";"EUR";"15.58550969";"EUR";"0.2374";
"2502271425801";"APMT + ";"27.02.2025";"0";"EUR";"";"";"";"";"";"";"2.55";"EUR";"15.67301782";"EUR";"0.1627";
"2503056743301";"APMT + ";"05.03.2025";"0";"EUR";"";"";"";"";"";"";"25";"EUR";"15.43209877";"EUR";"1.62";
"2503067826901";"APMT + ";"06.03.2025";"0";"EUR";"";"";"";"";"";"";"0.34";"EUR";"15.24663677";"EUR";"0.0223";
"2503135369501";"APMT + ";"13.03.2025";"0";"EUR";"";"";"";"";"";"";"6.53";"EUR";"14.86455725";"EUR";"0.4393";
"2503201688701";"APMT + ";"20.03.2025";"0";"EUR";"";"";"";"";"";"";"2.85";"EUR";"15.05546751";"EUR";"0.1893";
"2503276779901";"APMT + ";"27.03.2025";"0";"EUR";"";"";"";"";"";"";"2.57";"EUR";"15.12654503";"EUR";"0.1699";
"2504032043701";"APMT + ";"03.04.2025";"0";"EUR";"";"";"";"";"";"";"2.49";"EUR";"14.71631206";"EUR";"0.1692";
"2504032065601";"APMT + ";"03.04.2025";"0";"EUR";"";"";"";"";"";"";"25";"EUR";"14.72060296";"EUR";"1.6983";
"2504100378801";"APMT + ";"10.04.2025";"0";"EUR";"";"";"";"";"";"";"2.13";"EUR";"13.09157959";"EUR";"0.1627";
"2504178451101";"APMT + ";"17.04.2025";"0";"EUR";"";"";"";"";"";"";"2.28";"EUR";"13.76811594";"EUR";"0.1656";
"2504243589801";"APMT + ";"24.04.2025";"0";"EUR";"";"";"";"";"";"";"0.55";"EUR";"14.06649616";"EUR";"0.0391";
"2505029601601";"APMT + ";"02.05.2025";"0";"EUR";"";"";"";"";"";"";"3.7";"EUR";"14.25269646";"EUR";"0.2596";
